Element,Symbol,Atomic Mass,Group,Discoverer,Year discovered
Hydrogen,H,1.008,Nonmetal,Henry Cavendish,1766
Helium,He,4.003,Noble Gas,Sir William Ramsay,1892
Lithium,Li,6.941,Alkali Metal,Johan August Arfvedson,1817
Beryllium,Be,9.012,Alkaline,Nicholas Louis Vauquelin,1797
Boron,B,10.811,Semimetal,Louis-Josef Gay-Lussac,1808
Carbon,C,12.011,Nonmetal,Antoine Lavoisier,1789
Nitrogen,N,14.007,Nonmetal,Daniel Rutherford,1772
Oxygen,O,15.999,Nonmetal,Joseph Priestley,1778
Fluorine,F,18.998,Halogen,Henri Moissan,1886
Neon,Ne,20.180,Noble Gas,Morris Travers,1898
Sodium,Na,22.990,Alkali Metal,Humphry Davy,1807
Magnesium,Mg,24.305,Alkaline,Joseph Black,1755
Aluminium,Al,26.982,Basic Metal,Hans Oersted,1825
Silicon,Si,28.086,Semimetal,J̦ns Jacob Berzelius,1824
Phosphorus,P,30.974,Nonmetal,Hennig Brandt,1669
Sulfur,S,32.066,Nonmetal,Louis Thenard,1819
Chlorine,Cl,35.453,Halogen,Carl Wilhelm Scheele,1774
Argon,Ar,39.948,Noble Gas,Lord Rayleigh,1880
Potassium,K,39.098,Alkali Metal,Humphry Davy,1795
Calcium,Ca,40.078,Alkaline,Humphry Davy,1808